lambda,B08,C08,D08,E08,F08
442,0.111024,0.108826,0.147716,0.171472,0.0884601
444,0.111198,0.109008,0.147773,0.171419,0.0885228
446,0.111419,0.109087,0.147995,0.171335,0.0886185
448,0.111604,0.109269,0.148061,0.171469,0.0886129
450,0.112024,0.109465,0.148121,0.171554,0.0889323
452,0.112427,0.109752,0.148597,0.171586,0.0889069
454,0.112524,0.109962,0.148639,0.171628,0.0890312
456,0.112804,0.110116,0.14882,0.171655,0.0890656
458,0.113192,0.110408,0.149011,0.171995,0.0892034
460,0.113429,0.110608,0.149192,0.172071,0.0894486
462,0.113932,0.111239,0.149734,0.172711,0.0899427
464,0.114246,0.111257,0.149904,0.172594,0.0899809
466,0.114725,0.111705,0.150323,0.172856,0.0901359
468,0.114977,0.111858,0.150434,0.173037,0.0901879
470,0.115293,0.112102,0.150831,0.173249,0.0905233
472,0.115798,0.112522,0.151323,0.17357,0.0908397
474,0.116112,0.112714,0.151581,0.173915,0.0909254
476,0.116566,0.11317,0.151814,0.174029,0.0910494
478,0.116909,0.11317,0.152025,0.174095,0.0909613
480,0.117453,0.113581,0.152683,0.174678,0.0912712
482,0.117852,0.11405,0.152877,0.175192,0.0915357
484,0.117964,0.114334,0.15322,0.175488,0.0916303
486,0.118273,0.114673,0.153595,0.175838,0.0921777
488,0.118588,0.115032,0.153917,0.175937,0.0921958
490,0.119197,0.115389,0.154318,0.176633,0.0927426
492,0.119631,0.115826,0.154811,0.176983,0.0929238
494,0.119877,0.116111,0.155079,0.177298,0.0931752
496,0.12068,0.116724,0.155753,0.177829,0.0935964
498,0.120946,0.116939,0.156043,0.178141,0.09359
500,0.121291,0.117256,0.1562,0.178526,0.0938072
502,0.121725,0.11762,0.156748,0.178811,0.0940711
504,0.122081,0.118014,0.157095,0.179193,0.0943083
506,0.122675,0.118364,0.157425,0.179731,0.0943651
508,0.123192,0.118856,0.157952,0.180153,0.0947695
510,0.123352,0.119098,0.158178,0.180373,0.0949616
512,0.123743,0.119262,0.158532,0.180635,0.0950987
514,0.124116,0.11966,0.158864,0.181026,0.0951738
516,0.124625,0.12016,0.159374,0.181605,0.0955604
518,0.124834,0.120391,0.159548,0.181826,0.0956796
520,0.125371,0.120768,0.159973,0.182263,0.0959373
522,0.125848,0.121091,0.160499,0.182614,0.0962171
524,0.126204,0.121392,0.16081,0.182794,0.0962596
526,0.126449,0.121775,0.161195,0.183498,0.0965537
528,0.12677,0.12222,0.161434,0.183784,0.096988
530,0.127008,0.12226,0.161726,0.184159,0.0970758
532,0.127819,0.123188,0.162528,0.184684,0.0977089
534,0.128031,0.123187,0.162701,0.185125,0.0977416
536,0.128381,0.12352,0.163119,0.185292,0.0979184
538,0.12883,0.123898,0.163455,0.18574,0.0980562
540,0.129111,0.124051,0.163568,0.185944,0.0981685
542,0.129413,0.124523,0.16416,0.186543,0.0986372
544,0.129825,0.124737,0.1644,0.186818,0.098798
546,0.130228,0.1252,0.164952,0.187202,0.0993835
548,0.130456,0.125472,0.165118,0.187503,0.0994202
550,0.130866,0.125835,0.165536,0.187995,0.0995692
552,0.131441,0.126321,0.166034,0.188426,0.0997289
554,0.13184,0.126637,0.166487,0.18889,0.100051
556,0.132253,0.127012,0.166874,0.189278,0.100363
558,0.132618,0.127251,0.167269,0.189747,0.100524
560,0.133032,0.127623,0.167726,0.190141,0.100708
562,0.133548,0.12806,0.168222,0.190727,0.100975
564,0.134016,0.128324,0.168566,0.191112,0.101159
566,0.134176,0.128696,0.168959,0.191582,0.101411
568,0.13475,0.12918,0.169496,0.192129,0.101769
570,0.135098,0.129552,0.169926,0.192517,0.102119
572,0.13543,0.129949,0.17032,0.193081,0.102269
574,0.136068,0.130432,0.170898,0.19366,0.102611
576,0.136417,0.130863,0.171342,0.19408,0.102931
578,0.13699,0.131427,0.172004,0.194834,0.103283
580,0.137461,0.131878,0.172522,0.195188,0.103514
582,0.138102,0.132387,0.17308,0.195946,0.103915
584,0.138628,0.132885,0.173659,0.196566,0.104351
586,0.139116,0.13348,0.174166,0.197111,0.104547
588,0.139567,0.133824,0.174618,0.197619,0.104802
590,0.14007,0.134308,0.175243,0.198237,0.105121
592,0.140784,0.134858,0.175895,0.198895,0.10554
594,0.141072,0.135227,0.176299,0.199341,0.105675
596,0.141534,0.135668,0.176717,0.20004,0.106063
598,0.142245,0.136315,0.177371,0.200559,0.106462
600,0.142803,0.136823,0.178039,0.201222,0.106829
602,0.143217,0.137245,0.178552,0.201942,0.107082
604,0.143764,0.137817,0.179088,0.202344,0.107418
606,0.144063,0.138283,0.179569,0.202947,0.107732
608,0.144532,0.138612,0.179928,0.203388,0.107996
610,0.144909,0.139069,0.180473,0.204083,0.108327
612,0.145358,0.139548,0.180924,0.204456,0.108597
614,0.145729,0.13991,0.181251,0.204893,0.108718
616,0.146332,0.14025,0.181776,0.205445,0.108865
618,0.146902,0.140814,0.182269,0.206013,0.109253
620,0.147165,0.141036,0.182719,0.206321,0.109379
622,0.147617,0.141538,0.183199,0.206855,0.109716
624,0.147895,0.141804,0.183532,0.207325,0.109838
626,0.148338,0.142226,0.183971,0.207752,0.110029
628,0.148513,0.142614,0.184142,0.208116,0.110259
630,0.148901,0.143039,0.184746,0.208531,0.110609
632,0.149307,0.143186,0.185042,0.208926,0.110706
634,0.149822,0.143658,0.185572,0.209479,0.110991
636,0.150296,0.144345,0.186049,0.210122,0.111519
638,0.150664,0.144651,0.186292,0.210392,0.111603
640,0.150823,0.144671,0.18666,0.21055,0.111653
642,0.151333,0.145205,0.187202,0.21119,0.112071
644,0.151909,0.145782,0.187516,0.2117,0.112224
646,0.15215,0.146088,0.187998,0.212186,0.112456
648,0.152608,0.146541,0.188402,0.212517,0.112662
650,0.153016,0.14684,0.188854,0.213027,0.112936
652,0.153285,0.147047,0.189155,0.213411,0.113044
654,0.153755,0.147609,0.189549,0.213778,0.113403
656,0.154134,0.147927,0.190059,0.214333,0.113396
658,0.15448,0.148246,0.190541,0.214826,0.113773
660,0.155137,0.148952,0.19114,0.215506,0.114365
662,0.155342,0.149246,0.191403,0.215719,0.114503
664,0.156099,0.149943,0.192188,0.216522,0.114939
666,0.156362,0.150251,0.192433,0.21691,0.115154
668,0.156826,0.150871,0.193113,0.217344,0.115471
670,0.15717,0.151083,0.19353,0.217813,0.115718
672,0.157681,0.151517,0.194187,0.21841,0.115849
674,0.158282,0.15218,0.194651,0.219085,0.116209
676,0.159047,0.152764,0.195391,0.219979,0.116681
678,0.159275,0.153115,0.195829,0.220254,0.116842
680,0.159871,0.153824,0.196383,0.220905,0.117372
682,0.160316,0.154383,0.197151,0.221745,0.117802
684,0.161196,0.155112,0.197826,0.222382,0.118419
686,0.16151,0.155559,0.1984,0.22302,0.118572
688,0.162101,0.156148,0.199077,0.223779,0.119056
690,0.162697,0.156669,0.199756,0.224439,0.119478
